Source,web_scraper_order,specialization,fees,avg_rate,waiting_time,clinic_location,rate_count,doctor_views,pages
0 (1),1676137334-729,Physiotherapist,65 EGP,5,Waiting Time : 15 Minutes,El-Mansoura,From 16 Visitors,"1,707 View(s)",1048
1 (1),1676137337-730,Dermatologist,200 EGP,4.5,Waiting Time : 35 Minutes,El-Ibrahimia,From 68 Visitors,"8,188 View(s)",1048
2 (1),1676137340-731,Orthopedist,250 EGP,4.5,Waiting Time : 31 Minutes,6th of October,From 29 Visitors,"1,745 View(s)",1048
3 (1),1676137343-732,Gynecologist,150 EGP,,null,El-Haram,null,"1,155 View(s)",1048
4 (1),1676137345-733,Dermatologist,200 EGP,5,Waiting Time : 20 Minutes,Nasr City,From 90 Visitors,"4,054 View(s)",1048
5 (1),1676137351-734,Pediatrician,450 EGP,,null,El-Dokki,null,311 View(s),...
6 (1),1676137354-735,Pediatrician,450 EGP,,null,El-Dokki,null,195 View(s),...
7 (1),1676137357-736,Cardiologist,450 EGP,,null,El-Dokki,null,222 View(s),...
8 (1),1676137360-737,Gynecologist,350 EGP,4.5,Waiting Time : 12 Minutes,6th of October,From 27 Visitors,561 View(s),...
9 (1),1676137363-738,Pediatrician,400 EGP,,null,Yousef Abbas,null,117 View(s),...
10 (1),1676137367-739,General Surgeon,500 EGP,4.5,Waiting Time : 12 Minutes,El-Maadi : Zahraa El Maadi Road Carefour,From 115 Visitors,"11,768 View(s)",...
11 (1),1676137370-740,Urologist,400 EGP,5,Waiting Time : 5 Minutes,Nasr City,From 949 Visitors,"25,339 View(s)",...
12 (1),1676137381-741,Neurosurgeon,500 EGP,5,Waiting Time : 1 Hour and 30 Minutes,Nasr City,From 94 Visitors,"10,543 View(s)",...
13 (1),1676137391-742,Gynecologist,200 EGP,5,Waiting Time : 42 Minutes,Shoubra El-Kheima : 15th may,From 46 Visitors,"4,268 View(s)",...
14 (1),1676137400-743,General Surgeon,200 EGP,4.5,Waiting Time : 6 Minutes,Moharam Bek : moharam bek,From 44 Visitors,"3,979 View(s)",...
15 (1),1676137407-744,Gynecologist,500 EGP,5,Waiting Time : 15 Minutes,El-Mohandessin : el Sudan Street,From 43 Visitors,"4,861 View(s)",92
16 (1),1676137412-745,Urologist,450 EGP,,null,El-Dokki,null,671 View(s),92
17 (1),1676137415-746,Nephrologist,350 EGP,5,Waiting Time : 8 Minutes,Nasr City : Zaker Hussien Street-District 7,From 4 Visitors,274 View(s),92
18 (1),1676137417-747,Neurologist,450 EGP,,null,El-Dokki,null,450 View(s),92
19 (1),1676137425-748,Pediatrician,350 EGP,5,Waiting Time : 9 Minutes,Nasr City : Ibrahim Nawar parallel to Ahmed Fakhry - Sixth Region.,From 10 Visitors,"3,062 View(s)",92
20 (1),1676137428-749,Physiotherapist,150 EGP,4.5,Waiting Time : 10 Minutes,Shoubra El-Kheima,From 24 Visitors,"4,111 View(s)",92
21 (1),1676137434-750,ENT Doctor,170 EGP,5,Waiting Time : 14 Minutes,El-Zagazig : al kwmya street,From 332 Visitors,"12,067 View(s)",
22 (1),1676137436-751,Ophthalmologist,200 EGP,5,Waiting Time : 43 Minutes,Shoubra,From 374 Visitors,"10,303 View(s)",
23 (1),1676137441-752,Nephrologist,400 EGP,5,Waiting Time : 1 Hour and 10 Minutes,New Cairo : beside new cairo court,From 740 Visitors,"13,872 View(s)",
